slug,apple_mapping,category,name_long,unit,default_value,description,references/0,references/1
addenbrookes_cognitive_examination,,functional,Addenbrookes cognitive examination (ACE),{score},,"The Addenbrooke's Cognitive Examination (ACE) and its subsequent versions (Addenbrooke's Cognitive Examination-Revised, ACE-R and Addenbrooke's Cognitive Examination III, ACE-III) are neuropsychological tests used to identify cognitive impairment in conditions such as dementia.",https://www.sydney.edu.au/content/dam/corporate/documents/brain-and-mind-centre/ace-diagnostic-tests/ace-iii---standard/ACE-III-Administration-Indian-English.pdf,https://en.wikipedia.org/wiki/Addenbrooke%27s_Cognitive_Examination
screen_time,,digital,Screen Time,h,,,,
ambient_temperature,,environment,Ambient Temperature,Cel,,,,
ambient_pressure,,environment,Ambient Pressure,bar,,,,
ambient_humidity,,environment,Ambient Humidity,%,,,,
ambient_noise,,environment,Ambient Noise level,dB,,,,
ambient_co2,,environment,Ambient CO2 level,[ppm],,,,
ambient_air_quality,,environment,Ambient Air Quality Index (AQI),[ppm],,An air quality index (AQI) is used by government agencies to communicate to the public how polluted the air currently is or how polluted it is forecast to become.,https://en.wikipedia.org/wiki/Air_quality_index,https://www.iqair.com/
medication_prescription,,intervention,Medication,,,All the information specified by a physician pertaining a single medication in terms of route of administration and schedule for administration of every dose.,https://www.openmhealth.org/documentation/#/schema-docs/schema-library/schemas/omh_medication-prescription,
supplementation,,intervention,Supplementation,,,,,
nutrition,,nutrition,Meal,,,,,
sleep_episode,,sleep,Sleep Episode,,,"Sleep is a naturally recurring state of mind and body, characterized by altered consciousness, relatively inhibited sensory activity, reduced muscle activity and inhibition of nearly all voluntary muscles during rapid eye movement (REM) sleep, and reduced interactions with surroundings. It is distinguished from wakefulness by a decreased ability to react to stimuli, but more reactive than a coma or disorders of consciousness, with sleep displaying different, active brain patterns.",https://en.wikipedia.org/wiki/Sleep,
mood_rating,,observation,Mood,{rating_5},,"Perceived Mood level, subjective Rating measurement",,
energy_rating,,observation,Energy Level,{rating_5},,"Perceived Energy level, subjective Rating measurement",,
hope_rating,,observation,Hope,{rating_5},,"Perceived Hope level, subjective Rating measurement",,
anxiety_rating,,observation,Anxiety,{rating_5},,"Perceived Anxiety level, subjective Rating measurement",,
stress_rating,,observation,Stress Level,{rating_5},,"Perceived Stress level, subjective Rating measurement",,
pain_rating,,observation,Pain,{rating_5},,"Perceived Pain level, subjective Rating measurement",,
flow_rating,,observation,Flow,{rating_5},,"Perceived Flow level, subjective Rating measurement",,
brainfog_rating,,observation,Brainfog,{rating_5},,"Perceived Brainfog level, subjective Rating measurement",,
sneezing_count,,observation,Sneezings Count,{#},,Count of sneezings,,
custom_bool,,custom,Custom Event,{bool},,,,
custom_rating_5,,custom,Custom Rating (1-5),{rating_5},,,,
custom_rating_10,,custom,Custom Rating (1-10),{rating_10},,,,
custom_int,,custom,Custom Number,{count},,,,
custom_float,,custom,Custom Number with Decimals,{#},,,,
custom_percentage,,custom,Custom Percentage,%,,,,
tag,,event,Tag,tag,,,,
