id,name,filling_value,maximum_allowed_value,minimum_allowed_value,duration_of_action,onset_delay,combination_operation,cause_only,outcome,created_at,updated_at,image_url,default_unit_id,deleted_at,manual_tracking,minimum_allowed_seconds_between_measurements,average_seconds_between_measurements,median_seconds_between_measurements,wp_post_id,filling_type,number_of_outcome_population_studies,number_of_predictor_population_studies,number_of_outcome_case_studies,number_of_predictor_case_studies,number_of_measurements,number_of_user_variables,number_of_variables,is_public,synonyms,amazon_product_category,boring,effect_only,predictor,font_awesome,ion_icon,more_info,valence,name_singular,sort_order,is_goal,controllable,slug
11,Nutrients,-1,,,86400,0,MEAN,1,0,2020-07-28 17:56:04,2021-02-02 01:02:36,https://static.quantimo.do/img/variable_categories/vegetarian_food-96.png,6,,0,,,,,none,9621,1,28325,2,315332,6012,313,1,"[""Nutrients"",""Nutrient""]","",,,1,fab fa-nutritionix,ion-fork,"Nutrients are compounds in foods essential to life and health, providing us with energy, the building blocks for repair and growth and substances necessary to regulate chemical processes.",positive,"",0,"","",
12,Goals,-1,,,86400,0,MEAN,0,1,2020-07-28 17:56:04,2021-08-27 00:53:12,https://static.quantimo.do/img/variable_categories/work-96.png,,,0,60,,,,none,873,12061,3190,27989,192800,494,126,0,"[""Work"",""Productivity"",""Goals"",""Goal""]","",,,0,fas fa-bullseye,ion-laptop,"Setting goals gives your life direction, and boosts your motivation and self-confidence. ",positive,"",0,"","",
13,Treatments,0,,0,86400,1800,SUM,1,0,2020-07-28 17:56:03,2021-08-27 00:53:11,https://static.quantimo.do/img/variable_categories/treatments.png,23,,1,60,,,,zero,32391,42,46932,37,119431,5715,9356,1,"[""Health and Beauty"",""Health & Beauty"",""Treatments"",""Treatment"",""HealthPersonalCare"",""Baby Product"",""Home""]",HealthPersonalCare,,,1,fas fa-briefcase-medical,ion-ios-medkit-outline,"Often the effects of medications and treatments aren't intuitively perceptible. That's where I come in!  If you regularly record your treatments,  I can analyze the data so we can get a better idea which ones are helping you,which one may be harming you, ",positive,"",0,"","",
14,Activities,0,,,86400,0,SUM,0,,2020-07-28 17:56:03,2021-08-27 00:53:12,https://static.quantimo.do/img/basic-flat-icons/png/clock.png,2,,0,,,,,zero,14294,6406,46999,16384,1325498,9345,1637,0,"[""Activities"",""Activity""]","",0,,1,far fa-calendar-check,ion-ios-body-outline,Non-physical activities like studying.,"",Activity,0,"","",
15,Foods,0,,0,864000,1800,SUM,1,0,2020-07-28 17:56:03,2021-05-03 01:57:18,https://static.quantimo.do/img/variable_categories/vegetarian_food-96.png,44,,1,,,,,zero,27730,,47146,,129670,8938,13415,1,"[""Grocery"",""Foods"",""Food"",""GourmetFood""]",GourmetFood,,,1,fas fa-utensils,ion-fork,Diet can have a significant impact on your health. It's important to enter any foods that you regularly eat to see how they might be affecting you.,positive,"",0,"","",
16,Conditions,-1,,,86400,0,MEAN,0,1,2020-07-28 17:56:04,2021-02-02 01:02:35,https://static.quantimo.do/img/variable_categories/dizzy_person_2-96.png,,,1,,,,,,,,,,,2,8,1,"[""Conditions"",""Condition""]","",,,0,fas fa-couch,ion-ios-medkit,Disease states or conditions that produce various symptoms. ,positive,"",0,"","",
17,Environment,,,,86400,0,MEAN,1,0,2020-07-28 17:56:05,2021-02-02 01:02:35,https://static.quantimo.do/img/variable_categories/environment.png,,,0,86400,,,,none,7364,32,34521,32,4102930,12947,564,1,"","",,,1,fas fa-cloud-sun-rain,ion-ios-partlysunny,"By recording your local weather conditions, I might be able to figure out how the amount of sunlight or temperature is affecting you.",positive,"",0,"","",
18,Causes of Illness,0,,,86400,0,MEAN,0,0,2020-07-28 17:56:05,2021-02-02 01:02:35,https://static.quantimo.do/img/variable_categories/virus-96.png,,,0,,,,,zero,487,,557,,2913,133,2289,1,"[""Causes of Illness"",""Cause of Illness""]","",,,1,fas fa-disease,ion-ios-medkit,Factors leading or increasing the severity of illness or disease. ,positive,"",0,"","",
19,Books,0,,,86400,0,MEAN,0,0,2020-07-28 17:56:04,2021-02-02 01:02:36,https://static.quantimo.do/img/variable_categories/books-96.png,,,0,,,,,zero,423,,470,,664,744,1654,1,"[""Books"",""Book""]",Books,1,,1,fas fa-book,ion-ios-book,Record your books read so we can see which ones actually work. ,positive,"",0,"","",
20,Software,0,,,86400,0,SUM,0,0,2020-07-28 17:56:05,2021-02-02 01:02:35,https://static.quantimo.do/img/variable_categories/console-96.png,2,,0,,,,,zero,13572,37,18667,30,821585,73845,52133,0,"[""Software & Mobile Apps"",""App"",""Software"",""Software & Mobile App"",""Software Usage""]","",1,,1,fas fa-laptop-code,ion-laptop,Record time spend using specific software or websites. ,positive,"",0,"","",
32,Payments,0,,,2592000,0,SUM,0,0,2020-07-28 17:56:04,2021-02-02 01:02:36,https://static.quantimo.do/img/variable_categories/banknotes-96.png,49,,0,,,,,zero,16066,,19723,,25293,12058,16718,0,"[""Purchases"",""Payments"",""Payment"",""Purchase""]","",1,,1,far fa-money-bill-alt,ion-cash,"Effortlessly see how supplements from Amazon might be influencing you, for example, by automatically logging spending by connecting the Slice app",positive,"",0,"","",
42,Movies and TV,0,,,86400,0,SUM,0,0,2020-07-28 17:56:04,2021-02-02 01:02:36,https://static.quantimo.do/img/variable_categories/retro_tv-96.png,,,0,,,,,zero,64,,64,,20,12,35,1,"","",1,,1,fas fa-tv,ion-social-youtube,Movies and TV shows watched. ,positive,"",0,"","",
251,Music,0,,,86400,0,SUM,0,0,2020-07-28 17:56:04,2021-02-02 01:02:35,https://static.quantimo.do/img/variable_categories/musical_notes-96.png,23,,0,,,,,zero,387,,385,,349,380,734,1,"","",1,,1,fas fa-music,ion-music-note,Music listened to.,positive,"",0,"","",
252,Electronics,0,,0,604800,1800,SUM,1,0,2020-07-28 17:56:05,2021-02-02 01:02:35,https://static.quantimo.do/img/variable_categories/movies-and-tv.png,23,,0,,,,,zero,93,,129,,130,226,618,1,"[""Electronics"",""Electronic""]",Electronics,1,,1,fas fa-charging-station,ion-ios-medkit-outline,"Often the effects of using electronics aren't intuitively perceptible. That's where I come in!  If you import your usage data, I can analyze it and give you a better idea how they might be affecting you.",positive,"",0,"","",
253,IT Metrics,-1,,,86400,0,SUM,0,0,2020-07-28 17:56:04,2021-02-02 01:02:36,https://static.quantimo.do/img/variable_categories/console-96.png,23,,0,,,,,none,,,,,,,,0,"","",1,0,1,fas fa-microchip,ion-laptop,IT metrics are quantifiable measurements used by IT leaders to help manage the business of IT. ,positive,"",0,"","",
254,Economic Indicators,-1,,,86400,0,MEAN,0,1,2020-10-27 03:05:03,2021-02-02 01:02:35,https://static.quantimo.do/img/features/graph-1.png,15,,0,,,,,none,34,34,34,34,33141,,13,1,"[""Economic Data"",""Economic Indicators""]","",1,0,1,fas fa-chart-line,ion-cash,"An economic indicator is a piece of economic data, usually of macroeconomic scale, that is used by analysts to interpret current or future investment possibilities.",positive,"",0,"","",
255,Investment Strategies,-1,,,86400,0,MEAN,0,1,2020-11-17 20:03:48,2021-02-02 01:02:35,https://static.quantimo.do/img/money/money-notes.png,21,,0,,,,,none,,,,,37457,,79,1,"[""Investment Strategy"",""Investment Strategies""]","",1,0,1,far fa-money-bill-alt,ion-cash,"An investment strategy is what guides an investor's decisions based on goals, risk tolerance, and future needs for capital. ",positive,"",0,"","",
